teryt;akr;nazwa;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;PL;POLSKA;560,43;610,51;644,48;664,21;711,96;735,40;761,46;834,68;928,87;1045,52;1114,49;1192,82;1226,95;1278,43;1299,07;1340,44;1386,16;1474,56;1598,13;1693,46;1819,14;1919,21
200000;DK;DOLNOŚLĄSKIE;580,91;605,26;651,81;690,84;727,46;748,86;777,94;852,98;950,96;1118,57;1174,26;1239,17;1282,93;1367,00;1344,79;1366,33;1471,84;1586,03;1626,18;1755,50;1955,20;2031,24
400000;KP;KUJAWSKO-POMORSKIE;512,88;572,55;608,50;653,24;640,86;652,84;664,02;771,08;897,88;949,94;1014,99;1158,49;1108,94;1133,97;1169,40;1201,54;1245,69;1308,63;1456,55;1611,33;1770,82;1845,34
600000;LE;LUBELSKIE;491,04;501,73;553,03;581,22;648,02;676,70;672,37;725,10;791,61;880,62;908,99;978,49;1025,80;1056,45;1105,58;1208,35;1226,74;1299,14;1436,58;1527,69;1556,76;1679,02
800000;LU;LUBUSKIE;549,26;609,66;634,66;649,26;678,75;654,37;691,25;842,29;914,30;1058,86;1103,32;1153,06;1189,89;1231,16;1238,06;1285,37;1419,58;1498,52;1591,21;1664,89;1794,12;1971,47
1000000;LO;ŁÓDZKIE;574,62;632,09;645,07;660,51;713,95;730,53;768,97;836,90;910,99;1013,36;1115,10;1178,73;1203,19;1268,42;1296,47;1293,36;1362,03;1458,23;1566,02;1620,50;1809,65;1871,83
1200000;MP;MAŁOPOLSKIE;559,65;583,60;630,48;631,65;671,84;717,61;732,27;765,10;864,37;1000,74;1041,73;1107,54;1156,79;1189,84;1227,80;1260,58;1305,45;1423,46;1491,91;1627,85;1773,08;1914,74
1400000;MZ;MAZOWIECKIE;680,05;750,26;771,44;795,48;898,78;940,18;937,97;1048,80;1207,15;1336,46;1438,73;1601,97;1622,96;1710,01;1690,42;1703,62;1756,15;1780,88;1912,09;2031,59;2108,01;2240,52
1600000;OP;OPOLSKIE;507,19;613,68;630,18;642,19;692,23;744,64;796,30;794,90;915,70;1080,08;1082,27;1115,73;1181,90;1294,26;1198,79;1244,69;1288,74;1389,92;1510,73;1589,30;1687,29;1711,34
1800000;PK;PODKARPACKIE;476,84;497,22;527,49;538,46;582,12;585,43;619,02;646,76;700,67;791,27;834,59;907,28;937,85;959,12;997,69;1053,02;1081,64;1134,10;1254,30;1347,26;1471,49;1588,57
2000000;PD;PODLASKIE;479,16;524,93;582,69;622,20;607,96;644,88;724,68;816,10;883,99;935,48;1018,77;1103,20;1224,92;1242,39;1258,18;1258,62;1257,93;1419,83;1585,57;1596,76;1741,70;1948,31
2200000;PM;POMORSKIE;567,53;631,49;683,07;743,44;769,52;753,32;801,08;910,51;1030,16;1102,19;1164,50;1243,12;1286,94;1350,56;1433,64;1376,34;1380,92;1560,35;1649,04;1737,54;1859,98;1799,12
2400000;SL;ŚLĄSKIE;597,22;657,41;689,46;689,23;726,01;748,29;792,82;847,92;919,27;1041,08;1114,05;1168,42;1215,44;1278,87;1318,92;1381,68;1420,54;1513,23;1645,75;1757,03;1897,39;2050,36
2600000;SW;ŚWIĘTOKRZYSKIE;467,64;518,89;557,06;578,34;604,24;615,46;621,01;698,44;775,57;878,18;937,89;1026,36;1062,78;1119,76;1153,36;1199,74;1202,80;1305,96;1432,68;1549,82;1626,46;1726,92
2800000;WM;WARMIŃSKO-MAZURSKIE;465,93;546,49;579,41;591,92;640,14;657,68;701,26;746,49;835,35;979,06;1084,28;1103,39;1096,87;1109,95;1108,97;1229,74;1280,51;1371,79;1496,15;1554,81;1597,18;1884,05
3000000;WK;WIELKOPOLSKIE;559,23;604,91;637,24;639,16;690,53;700,85;738,61;814,16;889,52;1018,51;1097,33;1125,74;1135,02;1153,43;1206,72;1268,78;1287,79;1399,99;1606,64;1629,98;1806,98;1789,13
3200000;ZP;ZACHODNIOPOMORSKIE;591,18;603,37;643,34;655,19;705,15;762,04;762,54;834,75;903,57;1048,91;1139,67;1186,91;1231,10;1263,56;1255,90;1365,40;1426,85;1482,90;1652,60;1722,23;1801,11;1862,09
