"teryt";"nazwa";"razem";"m";"k";"razem_przed";"m_przed";"k_przed";"razem_prod";"m_prod";"k_prod";"razem_po";"m_po";"k_po";"powierzchnia";"typ"
"0201011";"Bolesławiec (1)";37522;17509;20013;5864;3010;2854;21177;11162;10015;10481;3337;7144;24;" (1)"
"0201022";"Bolesławiec (2)";15119;7547;7572;3160;1646;1514;9276;4968;4308;2683;933;1750;289;" (2)"
"0201032";"Gromadka (2)";5094;2535;2559;899;454;445;3060;1696;1364;1135;385;750;268;" (2)"
"0201043";"Nowogrodziec (3)";14747;7352;7395;2926;1533;1393;9066;4928;4138;2755;891;1864;176;" (3)"
"0201052";"Osiecznica (2)";7329;3680;3649;1487;748;739;4518;2458;2060;1324;474;850;437;" (2)"
"0201062";"Warta Bolesławiecka (2)";8464;4175;4289;1635;816;819;5163;2807;2356;1666;552;1114;110;" (2)"
"0202011";"Bielawa (1)";28688;13381;15307;4259;2160;2099;16451;8678;7773;7978;2543;5435;36;" (1)"
"0202021";"Dzierżoniów (1)";31478;14638;16840;4616;2353;2263;17612;9388;8224;9250;2897;6353;20;" (1)"
"0202033";"Pieszyce (3)";9012;4346;4666;1534;765;769;5301;2881;2420;2177;700;1477;64;" (3)"
"0202041";"Piława Górna (1)";6059;2913;3146;1033;516;517;3594;1948;1646;1432;449;983;21;" (1)"
"0202052";"Dzierżoniów (2)";9215;4571;4644;1669;838;831;5501;3014;2487;2045;719;1326;141;" (2)"
"0202062";"Łagiewniki (2)";7254;3560;3694;1333;689;644;4308;2328;1980;1613;543;1070;125;" (2)"
"0202073";"Niemcza (3)";5178;2549;2629;817;423;394;3066;1659;1407;1295;467;828;72;" (3)"
"0203011";"Głogów (1)";63730;30514;33216;10906;5540;5366;35834;19003;16831;16990;5971;11019;35;" (1)"
"0203022";"Głogów (2)";7063;3533;3530;1575;806;769;4230;2284;1946;1258;443;815;85;" (2)"
"0203032";"Jerzmanowa (2)";5669;2824;2845;1438;741;697;3453;1793;1660;778;290;488;63;" (2)"
"0203042";"Kotla (2)";4359;2179;2180;935;462;473;2619;1431;1188;805;286;519;128;" (2)"
"0203052";"Pęcław (2)";2119;1086;1033;434;220;214;1263;710;553;422;156;266;64;" (2)"
"0203062";"Żukowice (2)";3436;1741;1695;713;352;361;2075;1141;934;648;248;400;68;" (2)"
"0204013";"Góra (3)";18797;9266;9531;3330;1704;1626;11017;5995;5022;4450;1567;2883;266;" (3)"
"0204022";"Jemielno (2)";2775;1400;1375;507;260;247;1639;909;730;629;231;398;124;" (2)"
"0204032";"Niechlów (2)";4614;2333;2281;822;399;423;2777;1557;1220;1015;377;638;151;" (2)"
"0204043";"Wąsosz (3)";6841;3392;3449;1297;653;644;4024;2205;1819;1520;534;986;197;" (3)"
"0205011";"Jawor (1)";21264;10181;11083;3267;1685;1582;12182;6528;5654;5815;1968;3847;19;" (1)"
"0205023";"Bolków (3)";9749;4793;4956;1670;870;800;5651;3103;2548;2428;820;1608;153;" (3)"
"0205032";"Męcinka (2)";5085;2529;2556;1048;522;526;3035;1653;1382;1002;354;648;148;" (2)"
"0205042";"Mściwojów (2)";4020;2030;1990;819;425;394;2368;1316;1052;833;289;544;72;" (2)"
"0205052";"Paszowice (2)";4116;2074;2042;787;399;388;2516;1381;1135;813;294;519;101;" (2)"
"0205062";"Wądroże Wielkie (2)";3795;1914;1881;686;351;335;2233;1223;1010;876;340;536;89;" (2)"
"0206011";"Karpacz (1)";4358;2004;2354;584;285;299;2523;1300;1223;1251;419;832;38;" (1)"
"0206021";"Kowary (1)";10139;4791;5348;1502;778;724;5721;3054;2667;2916;959;1957;37;" (1)"
"0206031";"Piechowice (1)";5886;2827;3059;876;472;404;3352;1790;1562;1658;565;1093;43;" (1)"
"0206041";"Szklarska Poręba (1)";5873;2783;3090;822;407;415;3384;1839;1545;1667;537;1130;75;" (1)"
"0206052";"Janowice Wielkie (2)";4113;2055;2058;732;390;342;2435;1339;1096;946;326;620;58;" (2)"
"0206062";"Jeżów Sudecki (2)";7801;3789;4012;1546;745;801;4708;2461;2247;1547;583;964;94;" (2)"
